node,col,row,failure_count,total_tests
0,0,0,8,43
1,0,1,16,57
2,0,2,12,43
3,0,3,17,57
4,0,4,10,43
5,1,0,27,57
6,1,1,15,43
7,1,2,17,57
8,1,3,21,43
9,1,4,20,57
10,2,0,19,43
11,2,1,28,57
12,2,2,20,43
13,2,3,26,57
14,2,4,16,43
15,3,0,27,57
16,3,1,22,43
17,3,2,29,57
18,3,3,23,43
19,3,4,33,57
20,4,0,16,43
21,4,1,24,57
22,4,2,20,43
23,4,3,24,57
24,4,4,22,43
25,5,0,31,57
26,5,1,20,43
27,5,2,29,57
28,5,3,22,43
29,5,4,24,57
30,6,0,21,43
31,6,1,26,57
32,6,2,19,43
33,6,3,24,57
34,6,4,18,43
35,7,0,28,57
36,7,1,20,43
37,7,2,22,57
38,7,3,21,43
39,7,4,27,57
40,8,0,20,43
41,8,1,31,57
42,8,2,19,43
43,8,3,27,57
44,8,4,19,43
45,9,0,21,57
46,9,1,21,43
47,9,2,26,57
48,9,3,19,43
49,9,4,29,57
50,10,0,23,43
51,10,1,28,57
52,10,2,17,43
53,10,3,20,57
54,10,4,18,43
55,11,0,32,57
56,11,1,26,43
57,11,2,25,57
58,11,3,19,43
59,11,4,19,57
60,12,0,22,43
61,12,1,22,57
62,12,2,21,43
63,12,3,26,57
64,12,4,21,43
65,13,0,27,57
66,13,1,19,43
67,13,2,31,57
68,13,3,30,43
69,13,4,30,57
70,14,0,23,43
71,14,1,29,57
72,14,2,21,43
73,14,3,26,57
74,14,4,25,43
75,15,0,17,57
76,15,1,24,43
77,15,2,29,57
78,15,3,21,43
79,15,4,24,57
80,16,0,20,43
81,16,1,30,57
82,16,2,16,43
83,16,3,34,57
84,16,4,21,43
85,17,0,23,57
86,17,1,17,43
87,17,2,30,57
88,17,3,25,43
89,17,4,29,57
90,18,0,22,43
91,18,1,22,57
92,18,2,16,43
93,18,3,31,57
94,18,4,13,43
95,19,0,20,57
96,19,1,24,43
97,19,2,22,57
98,19,3,22,43
99,19,4,31,57
100,20,0,19,43
101,20,1,21,57
102,20,2,23,43
103,20,3,27,57
104,20,4,22,43
