node,col,row,failure_count,total_tests
0,0,0,0,64
1,0,1,1,36
2,0,2,1,64
3,0,3,0,36
4,0,4,1,64
5,1,0,1,36
6,1,1,3,64
7,1,2,2,36
8,1,3,1,64
9,1,4,0,36
10,2,0,5,64
11,2,1,4,36
12,2,2,9,64
13,2,3,3,36
14,2,4,2,64
15,3,0,0,36
16,3,1,2,64
17,3,2,1,36
18,3,3,4,64
19,3,4,0,36
20,4,0,6,64
21,4,1,4,36
22,4,2,2,64
23,4,3,0,36
24,4,4,3,64
25,5,0,4,36
26,5,1,5,64
27,5,2,0,36
28,5,3,2,64
29,5,4,2,36
30,6,0,3,64
31,6,1,6,36
32,6,2,4,64
33,6,3,2,36
34,6,4,2,64
35,7,0,1,36
36,7,1,2,64
37,7,2,0,36
38,7,3,1,64
39,7,4,1,36
40,8,0,3,64
41,8,1,1,36
42,8,2,2,64
43,8,3,6,36
44,8,4,7,64
45,9,0,2,36
46,9,1,4,64
47,9,2,1,36
48,9,3,2,64
49,9,4,3,36
50,10,0,4,64
51,10,1,2,36
52,10,2,4,64
53,10,3,1,36
54,10,4,4,64
55,11,0,1,36
56,11,1,3,64
57,11,2,2,36
58,11,3,3,64
59,11,4,0,36
60,12,0,2,64
61,12,1,2,36
62,12,2,2,64
63,12,3,1,36
64,12,4,5,64
65,13,0,2,36
66,13,1,2,64
67,13,2,0,36
68,13,3,3,64
69,13,4,0,36
70,14,0,1,64
71,14,1,0,36
72,14,2,2,64
73,14,3,0,36
74,14,4,3,64
75,15,0,0,36
76,15,1,1,64
77,15,2,2,36
78,15,3,4,64
79,15,4,0,36
80,16,0,0,64
81,16,1,0,36
82,16,2,0,64
83,16,3,3,36
84,16,4,2,64
85,17,0,2,36
86,17,1,2,64
87,17,2,1,36
88,17,3,3,64
89,17,4,3,36
90,18,0,6,64
91,18,1,4,36
92,18,2,2,64
93,18,3,0,36
94,18,4,1,64
95,19,0,3,36
96,19,1,4,64
97,19,2,0,36
98,19,3,1,64
99,19,4,0,36
100,20,0,4,64
101,20,1,2,36
102,20,2,2,64
103,20,3,1,36
104,20,4,1,64
