node,col,row,failure_count,total_tests
0,0,0,1,59
1,0,1,0,41
2,0,2,0,59
3,0,3,0,41
4,0,4,0,59
5,1,0,0,41
6,1,1,0,59
7,1,2,0,41
8,1,3,0,59
9,1,4,0,41
10,2,0,2,59
11,2,1,1,41
12,2,2,4,59
13,2,3,2,41
14,2,4,4,59
15,3,0,2,41
16,3,1,1,59
17,3,2,5,41
18,3,3,4,59
19,3,4,1,41
20,4,0,2,59
21,4,1,1,41
22,4,2,5,59
23,4,3,5,41
24,4,4,1,59
25,5,0,2,41
26,5,1,3,59
27,5,2,4,41
28,5,3,2,59
29,5,4,0,41
30,6,0,1,59
31,6,1,1,41
32,6,2,2,59
33,6,3,2,41
34,6,4,3,59
35,7,0,1,41
36,7,1,4,59
37,7,2,0,41
38,7,3,0,59
39,7,4,1,41
40,8,0,1,59
41,8,1,0,41
42,8,2,1,59
43,8,3,2,41
44,8,4,4,59
45,9,0,1,41
46,9,1,1,59
47,9,2,1,41
48,9,3,2,59
49,9,4,2,41
50,10,0,1,59
51,10,1,2,41
52,10,2,3,59
53,10,3,2,41
54,10,4,4,59
55,11,0,4,41
56,11,1,2,59
57,11,2,1,41
58,11,3,1,59
59,11,4,1,41
60,12,0,1,59
61,12,1,2,41
62,12,2,1,59
63,12,3,3,41
64,12,4,3,59
65,13,0,1,41
66,13,1,2,59
67,13,2,2,41
68,13,3,1,59
69,13,4,0,41
70,14,0,0,59
71,14,1,1,41
72,14,2,6,59
73,14,3,1,41
74,14,4,3,59
75,15,0,0,41
76,15,1,3,59
77,15,2,2,41
78,15,3,1,59
79,15,4,1,41
80,16,0,3,59
81,16,1,2,41
82,16,2,1,59
83,16,3,1,41
84,16,4,4,59
85,17,0,0,41
86,17,1,2,59
87,17,2,2,41
88,17,3,1,59
89,17,4,0,41
90,18,0,2,59
91,18,1,2,41
92,18,2,3,59
93,18,3,2,41
94,18,4,1,59
95,19,0,1,41
96,19,1,2,59
97,19,2,1,41
98,19,3,4,59
99,19,4,0,41
100,20,0,4,59
101,20,1,1,41
102,20,2,4,59
103,20,3,2,41
104,20,4,2,59
