node,col,row,failure_count,total_tests
0,0,0,1,59
1,0,1,0,41
2,0,2,0,59
3,0,3,0,41
4,0,4,0,59
5,1,0,0,41
6,1,1,0,59
7,1,2,0,41
8,1,3,0,59
9,1,4,0,41
10,2,0,2,59
11,2,1,0,41
12,2,2,2,59
13,2,3,1,41
14,2,4,2,59
15,3,0,1,41
16,3,1,1,59
17,3,2,1,41
18,3,3,2,59
19,3,4,1,41
20,4,0,1,59
21,4,1,0,41
22,4,2,4,59
23,4,3,3,41
24,4,4,1,59
25,5,0,0,41
26,5,1,1,59
27,5,2,2,41
28,5,3,0,59
29,5,4,0,41
30,6,0,1,59
31,6,1,1,41
32,6,2,1,59
33,6,3,1,41
34,6,4,1,59
35,7,0,1,41
36,7,1,3,59
37,7,2,0,41
38,7,3,0,59
39,7,4,1,41
40,8,0,0,59
41,8,1,0,41
42,8,2,0,59
43,8,3,1,41
44,8,4,2,59
45,9,0,0,41
46,9,1,1,59
47,9,2,0,41
48,9,3,1,59
49,9,4,1,41
50,10,0,1,59
51,10,1,1,41
52,10,2,1,59
53,10,3,1,41
54,10,4,3,59
55,11,0,2,41
56,11,1,0,59
57,11,2,1,41
58,11,3,1,59
59,11,4,0,41
60,12,0,0,59
61,12,1,1,41
62,12,2,1,59
63,12,3,1,41
64,12,4,3,59
65,13,0,1,41
66,13,1,1,59
67,13,2,1,41
68,13,3,0,59
69,13,4,0,41
70,14,0,0,59
71,14,1,1,41
72,14,2,3,59
73,14,3,1,41
74,14,4,2,59
75,15,0,0,41
76,15,1,1,59
77,15,2,1,41
78,15,3,0,59
79,15,4,0,41
80,16,0,2,59
81,16,1,0,41
82,16,2,0,59
83,16,3,0,41
84,16,4,2,59
85,17,0,0,41
86,17,1,0,59
87,17,2,1,41
88,17,3,1,59
89,17,4,0,41
90,18,0,2,59
91,18,1,0,41
92,18,2,1,59
93,18,3,1,41
94,18,4,1,59
95,19,0,0,41
96,19,1,1,59
97,19,2,1,41
98,19,3,2,59
99,19,4,0,41
100,20,0,1,59
101,20,1,0,41
102,20,2,4,59
103,20,3,1,41
104,20,4,2,59
