node,col,row,failure_count,total_tests
0,0,0,0,51
1,0,1,0,49
2,0,2,0,51
3,0,3,2,49
4,0,4,0,51
5,1,0,0,49
6,1,1,1,51
7,1,2,0,49
8,1,3,0,51
9,1,4,2,49
10,2,0,0,51
11,2,1,2,49
12,2,2,2,51
13,2,3,4,49
14,2,4,2,51
15,3,0,1,49
16,3,1,0,51
17,3,2,1,49
18,3,3,0,51
19,3,4,1,49
20,4,0,2,51
21,4,1,2,49
22,4,2,0,51
23,4,3,1,49
24,4,4,0,51
25,5,0,1,49
26,5,1,1,51
27,5,2,1,49
28,5,3,3,51
29,5,4,1,49
30,6,0,0,51
31,6,1,1,49
32,6,2,2,51
33,6,3,1,49
34,6,4,1,51
35,7,0,1,49
36,7,1,0,51
37,7,2,1,49
38,7,3,0,51
39,7,4,0,49
40,8,0,2,51
41,8,1,1,49
42,8,2,2,51
43,8,3,1,49
44,8,4,2,51
45,9,0,0,49
46,9,1,1,51
47,9,2,1,49
48,9,3,1,51
49,9,4,0,49
50,10,0,5,51
51,10,1,1,49
52,10,2,1,51
53,10,3,0,49
54,10,4,0,51
55,11,0,0,49
56,11,1,3,51
57,11,2,2,49
58,11,3,0,51
59,11,4,0,49
60,12,0,3,51
61,12,1,1,49
62,12,2,1,51
63,12,3,1,49
64,12,4,1,51
65,13,0,0,49
66,13,1,1,51
67,13,2,0,49
68,13,3,1,51
69,13,4,2,49
70,14,0,2,51
71,14,1,1,49
72,14,2,1,51
73,14,3,4,49
74,14,4,2,51
75,15,0,0,49
76,15,1,0,51
77,15,2,1,49
78,15,3,2,51
79,15,4,2,49
80,16,0,1,51
81,16,1,1,49
82,16,2,0,51
83,16,3,0,49
84,16,4,1,51
85,17,0,3,49
86,17,1,1,51
87,17,2,1,49
88,17,3,1,51
89,17,4,1,49
90,18,0,0,51
91,18,1,4,49
92,18,2,1,51
93,18,3,0,49
94,18,4,1,51
95,19,0,3,49
96,19,1,3,51
97,19,2,1,49
98,19,3,0,51
99,19,4,1,49
100,20,0,2,51
101,20,1,1,49
102,20,2,0,51
103,20,3,1,49
104,20,4,1,51
