node,col,row,failure_count,total_tests
0,0,0,1,40
1,0,1,3,60
2,0,2,2,40
3,0,3,4,60
4,0,4,0,40
5,1,0,7,60
6,1,1,6,40
7,1,2,9,60
8,1,3,5,40
9,1,4,8,60
10,2,0,9,40
11,2,1,10,60
12,2,2,7,40
13,2,3,18,60
14,2,4,9,40
15,3,0,10,60
16,3,1,11,40
17,3,2,14,60
18,3,3,9,40
19,3,4,12,60
20,4,0,11,40
21,4,1,22,60
22,4,2,12,40
23,4,3,20,60
24,4,4,5,40
25,5,0,15,60
26,5,1,5,40
27,5,2,17,60
28,5,3,12,40
29,5,4,12,60
30,6,0,10,40
31,6,1,16,60
32,6,2,9,40
33,6,3,13,60
34,6,4,14,40
35,7,0,15,60
36,7,1,6,40
37,7,2,9,60
38,7,3,3,40
39,7,4,10,60
40,8,0,7,40
41,8,1,17,60
42,8,2,10,40
43,8,3,10,60
44,8,4,15,40
45,9,0,10,60
46,9,1,11,40
47,9,2,13,60
48,9,3,8,40
49,9,4,14,60
50,10,0,12,40
51,10,1,14,60
52,10,2,13,40
53,10,3,20,60
54,10,4,11,40
55,11,0,17,60
56,11,1,7,40
57,11,2,9,60
58,11,3,9,40
59,11,4,9,60
60,12,0,13,40
61,12,1,22,60
62,12,2,14,40
63,12,3,21,60
64,12,4,7,40
65,13,0,15,60
66,13,1,10,40
67,13,2,7,60
68,13,3,12,40
69,13,4,10,60
70,14,0,2,40
71,14,1,15,60
72,14,2,7,40
73,14,3,15,60
74,14,4,10,40
75,15,0,9,60
76,15,1,10,40
77,15,2,16,60
78,15,3,14,40
79,15,4,11,60
80,16,0,6,40
81,16,1,19,60
82,16,2,6,40
83,16,3,14,60
84,16,4,14,40
85,17,0,13,60
86,17,1,11,40
87,17,2,11,60
88,17,3,9,40
89,17,4,13,60
90,18,0,4,40
91,18,1,23,60
92,18,2,10,40
93,18,3,13,60
94,18,4,5,40
95,19,0,6,60
96,19,1,6,40
97,19,2,10,60
98,19,3,8,40
99,19,4,16,60
100,20,0,7,40
101,20,1,10,60
102,20,2,9,40
103,20,3,14,60
104,20,4,6,40
