node,col,row,failure_count,total_tests
0,0,0,3,45
1,0,1,2,55
2,0,2,1,45
3,0,3,4,55
4,0,4,3,45
5,1,0,4,55
6,1,1,5,45
7,1,2,6,55
8,1,3,5,45
9,1,4,9,55
10,2,0,9,45
11,2,1,12,55
12,2,2,11,45
13,2,3,11,55
14,2,4,12,45
15,3,0,16,55
16,3,1,6,45
17,3,2,13,55
18,3,3,12,45
19,3,4,14,55
20,4,0,10,45
21,4,1,19,55
22,4,2,7,45
23,4,3,13,55
24,4,4,10,45
25,5,0,12,55
26,5,1,11,45
27,5,2,10,55
28,5,3,11,45
29,5,4,10,55
30,6,0,10,45
31,6,1,14,55
32,6,2,9,45
33,6,3,20,55
34,6,4,9,45
35,7,0,8,55
36,7,1,9,45
37,7,2,7,55
38,7,3,4,45
39,7,4,17,55
40,8,0,6,45
41,8,1,16,55
42,8,2,10,45
43,8,3,14,55
44,8,4,13,45
45,9,0,13,55
46,9,1,7,45
47,9,2,10,55
48,9,3,7,45
49,9,4,9,55
50,10,0,7,45
51,10,1,20,55
52,10,2,12,45
53,10,3,10,55
54,10,4,1,45
55,11,0,17,55
56,11,1,8,45
57,11,2,9,55
58,11,3,14,45
59,11,4,14,55
60,12,0,13,45
61,12,1,17,55
62,12,2,14,45
63,12,3,20,55
64,12,4,5,45
65,13,0,4,55
66,13,1,10,45
67,13,2,8,55
68,13,3,11,45
69,13,4,8,55
70,14,0,11,45
71,14,1,17,55
72,14,2,13,45
73,14,3,12,55
74,14,4,12,45
75,15,0,11,55
76,15,1,12,45
77,15,2,14,55
78,15,3,14,45
79,15,4,13,55
80,16,0,6,45
81,16,1,24,55
82,16,2,8,45
83,16,3,11,55
84,16,4,15,45
85,17,0,9,55
86,17,1,11,45
87,17,2,17,55
88,17,3,8,45
89,17,4,13,55
90,18,0,17,45
91,18,1,18,55
92,18,2,11,45
93,18,3,14,55
94,18,4,5,45
95,19,0,8,55
96,19,1,13,45
97,19,2,12,55
98,19,3,11,45
99,19,4,11,55
100,20,0,11,45
101,20,1,9,55
102,20,2,14,45
103,20,3,10,55
104,20,4,2,45
