node,col,row,failure_count,total_tests
0,0,0,2,47
1,0,1,3,53
2,0,2,5,47
3,0,3,2,53
4,0,4,4,47
5,1,0,6,53
6,1,1,6,47
7,1,2,6,53
8,1,3,6,47
9,1,4,6,53
10,2,0,12,47
11,2,1,19,53
12,2,2,18,47
13,2,3,11,53
14,2,4,12,47
15,3,0,13,53
16,3,1,9,47
17,3,2,14,53
18,3,3,11,47
19,3,4,12,53
20,4,0,10,47
21,4,1,17,53
22,4,2,9,47
23,4,3,15,53
24,4,4,5,47
25,5,0,8,53
26,5,1,8,47
27,5,2,16,53
28,5,3,12,47
29,5,4,10,53
30,6,0,12,47
31,6,1,18,53
32,6,2,10,47
33,6,3,20,53
34,6,4,16,47
35,7,0,13,53
36,7,1,6,47
37,7,2,12,53
38,7,3,10,47
39,7,4,12,53
40,8,0,7,47
41,8,1,13,53
42,8,2,16,47
43,8,3,13,53
44,8,4,18,47
45,9,0,10,53
46,9,1,13,47
47,9,2,12,53
48,9,3,5,47
49,9,4,9,53
50,10,0,11,47
51,10,1,13,53
52,10,2,13,47
53,10,3,11,53
54,10,4,12,47
55,11,0,16,53
56,11,1,9,47
57,11,2,5,53
58,11,3,16,47
59,11,4,10,53
60,12,0,10,47
61,12,1,6,53
62,12,2,15,47
63,12,3,22,53
64,12,4,9,47
65,13,0,7,53
66,13,1,8,47
67,13,2,11,53
68,13,3,14,47
69,13,4,9,53
70,14,0,5,47
71,14,1,8,53
72,14,2,13,47
73,14,3,9,53
74,14,4,20,47
75,15,0,12,53
76,15,1,13,47
77,15,2,9,53
78,15,3,10,47
79,15,4,11,53
80,16,0,7,47
81,16,1,10,53
82,16,2,9,47
83,16,3,10,53
84,16,4,18,47
85,17,0,9,53
86,17,1,11,47
87,17,2,16,53
88,17,3,13,47
89,17,4,14,53
90,18,0,16,47
91,18,1,14,53
92,18,2,14,47
93,18,3,19,53
94,18,4,8,47
95,19,0,5,53
96,19,1,11,47
97,19,2,10,53
98,19,3,11,47
99,19,4,9,53
100,20,0,10,47
101,20,1,13,53
102,20,2,11,47
103,20,3,11,53
104,20,4,9,47
