node,col,row,failure_count,total_tests
0,0,0,3,57
1,0,1,0,43
2,0,2,3,57
3,0,3,4,43
4,0,4,10,57
5,1,0,5,43
6,1,1,4,57
7,1,2,5,43
8,1,3,9,57
9,1,4,8,43
10,2,0,18,57
11,2,1,8,43
12,2,2,9,57
13,2,3,11,43
14,2,4,11,57
15,3,0,7,43
16,3,1,7,57
17,3,2,7,43
18,3,3,10,57
19,3,4,5,43
20,4,0,18,57
21,4,1,9,43
22,4,2,9,57
23,4,3,14,43
24,4,4,9,57
25,5,0,10,43
26,5,1,12,57
27,5,2,11,43
28,5,3,14,57
29,5,4,6,43
30,6,0,13,57
31,6,1,13,43
32,6,2,15,57
33,6,3,10,43
34,6,4,15,57
35,7,0,9,43
36,7,1,10,57
37,7,2,1,43
38,7,3,15,57
39,7,4,7,43
40,8,0,14,57
41,8,1,15,43
42,8,2,12,57
43,8,3,10,43
44,8,4,14,57
45,9,0,10,43
46,9,1,14,57
47,9,2,7,43
48,9,3,12,57
49,9,4,9,43
50,10,0,22,57
51,10,1,12,43
52,10,2,16,57
53,10,3,13,43
54,10,4,9,57
55,11,0,10,43
56,11,1,16,57
57,11,2,6,43
58,11,3,16,57
59,11,4,7,43
60,12,0,12,57
61,12,1,13,43
62,12,2,11,57
63,12,3,11,43
64,12,4,5,57
65,13,0,8,43
66,13,1,11,57
67,13,2,8,43
68,13,3,9,57
69,13,4,8,43
70,14,0,7,57
71,14,1,14,43
72,14,2,15,57
73,14,3,14,43
74,14,4,16,57
75,15,0,6,43
76,15,1,12,57
77,15,2,8,43
78,15,3,11,57
79,15,4,8,43
80,16,0,5,57
81,16,1,14,43
82,16,2,13,57
83,16,3,16,43
84,16,4,16,57
85,17,0,6,43
86,17,1,13,57
87,17,2,11,43
88,17,3,17,57
89,17,4,12,43
90,18,0,12,57
91,18,1,16,43
92,18,2,14,57
93,18,3,12,43
94,18,4,12,57
95,19,0,5,43
96,19,1,10,57
97,19,2,9,43
98,19,3,15,57
99,19,4,11,43
100,20,0,17,57
101,20,1,11,43
102,20,2,15,57
103,20,3,9,43
104,20,4,7,57
