node,col,row,failure_count,total_tests
0,0,0,0,43
1,0,1,0,57
2,0,2,0,43
3,0,3,0,57
4,0,4,0,43
5,1,0,0,57
6,1,1,0,43
7,1,2,1,57
8,1,3,2,43
9,1,4,1,57
10,2,0,1,43
11,2,1,1,57
12,2,2,1,43
13,2,3,1,57
14,2,4,0,43
15,3,0,1,57
16,3,1,0,43
17,3,2,1,57
18,3,3,1,43
19,3,4,2,57
20,4,0,0,43
21,4,1,0,57
22,4,2,1,43
23,4,3,0,57
24,4,4,0,43
25,5,0,0,57
26,5,1,1,43
27,5,2,0,57
28,5,3,0,43
29,5,4,1,57
30,6,0,1,43
31,6,1,0,57
32,6,2,0,43
33,6,3,0,57
34,6,4,1,43
35,7,0,0,57
36,7,1,0,43
37,7,2,2,57
38,7,3,0,43
39,7,4,1,57
40,8,0,2,43
41,8,1,1,57
42,8,2,0,43
43,8,3,1,57
44,8,4,2,43
45,9,0,2,57
46,9,1,0,43
47,9,2,2,57
48,9,3,0,43
49,9,4,1,57
50,10,0,0,43
51,10,1,1,57
52,10,2,1,43
53,10,3,1,57
54,10,4,0,43
55,11,0,0,57
56,11,1,0,43
57,11,2,1,57
58,11,3,0,43
59,11,4,0,57
60,12,0,2,43
61,12,1,0,57
62,12,2,1,43
63,12,3,0,57
64,12,4,0,43
65,13,0,0,57
66,13,1,2,43
67,13,2,0,57
68,13,3,1,43
69,13,4,0,57
70,14,0,0,43
71,14,1,1,57
72,14,2,0,43
73,14,3,0,57
74,14,4,1,43
75,15,0,1,57
76,15,1,0,43
77,15,2,0,57
78,15,3,1,43
79,15,4,0,57
80,16,0,1,43
81,16,1,0,57
82,16,2,1,43
83,16,3,1,57
84,16,4,0,43
85,17,0,0,57
86,17,1,0,43
87,17,2,0,57
88,17,3,0,43
89,17,4,0,57
90,18,0,0,43
91,18,1,2,57
92,18,2,1,43
93,18,3,0,57
94,18,4,1,43
95,19,0,0,57
96,19,1,0,43
97,19,2,0,57
98,19,3,0,43
99,19,4,0,57
100,20,0,0,43
101,20,1,0,57
102,20,2,1,43
103,20,3,1,57
104,20,4,1,43
