node,col,row,failure_count,total_tests
0,0,0,13,41
1,0,1,16,59
2,0,2,11,41
3,0,3,15,59
4,0,4,7,41
5,1,0,18,59
6,1,1,15,41
7,1,2,23,59
8,1,3,13,41
9,1,4,20,59
10,2,0,18,41
11,2,1,29,59
12,2,2,25,41
13,2,3,26,59
14,2,4,17,41
15,3,0,30,59
16,3,1,22,41
17,3,2,31,59
18,3,3,19,41
19,3,4,20,59
20,4,0,17,41
21,4,1,22,59
22,4,2,18,41
23,4,3,29,59
24,4,4,17,41
25,5,0,24,59
26,5,1,25,41
27,5,2,22,59
28,5,3,19,41
29,5,4,20,59
30,6,0,16,41
31,6,1,24,59
32,6,2,21,41
33,6,3,23,59
34,6,4,17,41
35,7,0,18,59
36,7,1,17,41
37,7,2,21,59
38,7,3,17,41
39,7,4,28,59
40,8,0,18,41
41,8,1,24,59
42,8,2,17,41
43,8,3,27,59
44,8,4,23,41
45,9,0,19,59
46,9,1,18,41
47,9,2,21,59
48,9,3,18,41
49,9,4,23,59
50,10,0,16,41
51,10,1,31,59
52,10,2,24,41
53,10,3,30,59
54,10,4,15,41
55,11,0,22,59
56,11,1,18,41
57,11,2,29,59
58,11,3,18,41
59,11,4,30,59
60,12,0,12,41
61,12,1,26,59
62,12,2,21,41
63,12,3,32,59
64,12,4,15,41
65,13,0,25,59
66,13,1,14,41
67,13,2,30,59
68,13,3,21,41
69,13,4,15,59
70,14,0,14,41
71,14,1,26,59
72,14,2,19,41
73,14,3,28,59
74,14,4,20,41
75,15,0,20,59
76,15,1,18,41
77,15,2,33,59
78,15,3,19,41
79,15,4,28,59
80,16,0,19,41
81,16,1,24,59
82,16,2,17,41
83,16,3,23,59
84,16,4,17,41
85,17,0,21,59
86,17,1,17,41
87,17,2,29,59
88,17,3,21,41
89,17,4,21,59
90,18,0,18,41
91,18,1,27,59
92,18,2,17,41
93,18,3,31,59
94,18,4,23,41
95,19,0,24,59
96,19,1,15,41
97,19,2,22,59
98,19,3,18,41
99,19,4,23,59
100,20,0,15,41
101,20,1,24,59
102,20,2,16,41
103,20,3,28,59
104,20,4,10,41
