node,col,row,failure_count,total_tests
0,0,0,17,47
1,0,1,15,53
2,0,2,8,47
3,0,3,11,53
4,0,4,12,47
5,1,0,16,53
6,1,1,17,47
7,1,2,14,53
8,1,3,18,47
9,1,4,19,53
10,2,0,20,47
11,2,1,32,53
12,2,2,16,47
13,2,3,26,53
14,2,4,16,47
15,3,0,21,53
16,3,1,24,47
17,3,2,22,53
18,3,3,23,47
19,3,4,27,53
20,4,0,21,47
21,4,1,27,53
22,4,2,16,47
23,4,3,23,53
24,4,4,21,47
25,5,0,21,53
26,5,1,26,47
27,5,2,22,53
28,5,3,19,47
29,5,4,25,53
30,6,0,22,47
31,6,1,29,53
32,6,2,19,47
33,6,3,34,53
34,6,4,26,47
35,7,0,23,53
36,7,1,24,47
37,7,2,19,53
38,7,3,25,47
39,7,4,29,53
40,8,0,17,47
41,8,1,23,53
42,8,2,23,47
43,8,3,32,53
44,8,4,18,47
45,9,0,27,53
46,9,1,18,47
47,9,2,27,53
48,9,3,16,47
49,9,4,19,53
50,10,0,21,47
51,10,1,21,53
52,10,2,25,47
53,10,3,26,53
54,10,4,15,47
55,11,0,16,53
56,11,1,17,47
57,11,2,28,53
58,11,3,20,47
59,11,4,21,53
60,12,0,22,47
61,12,1,21,53
62,12,2,17,47
63,12,3,31,53
64,12,4,22,47
65,13,0,27,53
66,13,1,18,47
67,13,2,24,53
68,13,3,26,47
69,13,4,14,53
70,14,0,23,47
71,14,1,20,53
72,14,2,24,47
73,14,3,23,53
74,14,4,24,47
75,15,0,21,53
76,15,1,21,47
77,15,2,26,53
78,15,3,21,47
79,15,4,26,53
80,16,0,19,47
81,16,1,23,53
82,16,2,24,47
83,16,3,29,53
84,16,4,24,47
85,17,0,20,53
86,17,1,23,47
87,17,2,26,53
88,17,3,25,47
89,17,4,22,53
90,18,0,24,47
91,18,1,23,53
92,18,2,22,47
93,18,3,15,53
94,18,4,18,47
95,19,0,20,53
96,19,1,24,47
97,19,2,24,53
98,19,3,16,47
99,19,4,18,53
100,20,0,17,47
101,20,1,18,53
102,20,2,22,47
103,20,3,19,53
104,20,4,12,47
