node,col,row,failure_count,total_tests
0,0,0,10,47
1,0,1,10,53
2,0,2,16,47
3,0,3,10,53
4,0,4,10,47
5,1,0,19,53
6,1,1,15,47
7,1,2,14,53
8,1,3,17,47
9,1,4,18,53
10,2,0,19,47
11,2,1,30,53
12,2,2,26,47
13,2,3,27,53
14,2,4,18,47
15,3,0,26,53
16,3,1,20,47
17,3,2,24,53
18,3,3,22,47
19,3,4,23,53
20,4,0,19,47
21,4,1,26,53
22,4,2,25,47
23,4,3,26,53
24,4,4,17,47
25,5,0,18,53
26,5,1,21,47
27,5,2,23,53
28,5,3,27,47
29,5,4,22,53
30,6,0,21,47
31,6,1,28,53
32,6,2,23,47
33,6,3,29,53
34,6,4,23,47
35,7,0,21,53
36,7,1,17,47
37,7,2,25,53
38,7,3,21,47
39,7,4,27,53
40,8,0,14,47
41,8,1,24,53
42,8,2,29,47
43,8,3,25,53
44,8,4,27,47
45,9,0,20,53
46,9,1,19,47
47,9,2,25,53
48,9,3,18,47
49,9,4,22,53
50,10,0,18,47
51,10,1,20,53
52,10,2,21,47
53,10,3,20,53
54,10,4,19,47
55,11,0,25,53
56,11,1,17,47
57,11,2,25,53
58,11,3,24,47
59,11,4,21,53
60,12,0,18,47
61,12,1,15,53
62,12,2,23,47
63,12,3,25,53
64,12,4,25,47
65,13,0,16,53
66,13,1,19,47
67,13,2,29,53
68,13,3,20,47
69,13,4,18,53
70,14,0,17,47
71,14,1,15,53
72,14,2,23,47
73,14,3,21,53
74,14,4,24,47
75,15,0,22,53
76,15,1,23,47
77,15,2,25,53
78,15,3,20,47
79,15,4,16,53
80,16,0,17,47
81,16,1,18,53
82,16,2,21,47
83,16,3,20,53
84,16,4,26,47
85,17,0,20,53
86,17,1,22,47
87,17,2,21,53
88,17,3,21,47
89,17,4,22,53
90,18,0,27,47
91,18,1,22,53
92,18,2,18,47
93,18,3,26,53
94,18,4,20,47
95,19,0,18,53
96,19,1,19,47
97,19,2,22,53
98,19,3,19,47
99,19,4,25,53
100,20,0,19,47
101,20,1,30,53
102,20,2,21,47
103,20,3,20,53
104,20,4,15,47
