node,col,row,failure_count,total_tests
0,0,0,12,56
1,0,1,11,44
2,0,2,11,56
3,0,3,8,44
4,0,4,6,56
5,1,0,14,44
6,1,1,24,56
7,1,2,16,44
8,1,3,22,56
9,1,4,10,44
10,2,0,24,56
11,2,1,27,44
12,2,2,34,56
13,2,3,23,44
14,2,4,27,56
15,3,0,13,44
16,3,1,23,56
17,3,2,22,44
18,3,3,26,56
19,3,4,15,44
20,4,0,26,56
21,4,1,22,44
22,4,2,24,56
23,4,3,15,44
24,4,4,16,56
25,5,0,15,44
26,5,1,19,56
27,5,2,21,44
28,5,3,25,56
29,5,4,15,44
30,6,0,24,56
31,6,1,19,44
32,6,2,24,56
33,6,3,23,44
34,6,4,29,56
35,7,0,14,44
36,7,1,25,56
37,7,2,21,44
38,7,3,27,56
39,7,4,24,44
40,8,0,23,56
41,8,1,21,44
42,8,2,27,56
43,8,3,22,44
44,8,4,30,56
45,9,0,18,44
46,9,1,26,56
47,9,2,17,44
48,9,3,27,56
49,9,4,23,44
50,10,0,28,56
51,10,1,22,44
52,10,2,32,56
53,10,3,21,44
54,10,4,20,56
55,11,0,16,44
56,11,1,25,56
57,11,2,14,44
58,11,3,31,56
59,11,4,22,44
60,12,0,22,56
61,12,1,20,44
62,12,2,27,56
63,12,3,22,44
64,12,4,20,56
65,13,0,19,44
66,13,1,29,56
67,13,2,21,44
68,13,3,28,56
69,13,4,16,44
70,14,0,29,56
71,14,1,22,44
72,14,2,28,56
73,14,3,16,44
74,14,4,25,56
75,15,0,21,44
76,15,1,25,56
77,15,2,18,44
78,15,3,22,56
79,15,4,19,44
80,16,0,22,56
81,16,1,20,44
82,16,2,30,56
83,16,3,19,44
84,16,4,21,56
85,17,0,16,44
86,17,1,21,56
87,17,2,20,44
88,17,3,21,56
89,17,4,24,44
90,18,0,25,56
91,18,1,28,44
92,18,2,24,56
93,18,3,20,44
94,18,4,23,56
95,19,0,13,44
96,19,1,20,56
97,19,2,20,44
98,19,3,23,56
99,19,4,18,44
100,20,0,26,56
101,20,1,21,44
102,20,2,27,56
103,20,3,25,44
104,20,4,15,56
