node,col,row,failure_count,total_tests
0,0,0,13,57
1,0,1,8,43
2,0,2,14,57
3,0,3,10,43
4,0,4,15,57
5,1,0,13,43
6,1,1,19,57
7,1,2,15,43
8,1,3,22,57
9,1,4,17,43
10,2,0,30,57
11,2,1,27,43
12,2,2,36,57
13,2,3,22,43
14,2,4,26,57
15,3,0,19,43
16,3,1,27,57
17,3,2,22,43
18,3,3,20,57
19,3,4,26,43
20,4,0,30,57
21,4,1,20,43
22,4,2,27,57
23,4,3,20,43
24,4,4,21,57
25,5,0,14,43
26,5,1,32,57
27,5,2,25,43
28,5,3,30,57
29,5,4,21,43
30,6,0,21,57
31,6,1,21,43
32,6,2,23,57
33,6,3,15,43
34,6,4,29,57
35,7,0,19,43
36,7,1,23,57
37,7,2,21,43
38,7,3,24,57
39,7,4,20,43
40,8,0,20,57
41,8,1,26,43
42,8,2,30,57
43,8,3,14,43
44,8,4,30,57
45,9,0,14,43
46,9,1,28,57
47,9,2,26,43
48,9,3,20,57
49,9,4,25,43
50,10,0,23,57
51,10,1,23,43
52,10,2,22,57
53,10,3,20,43
54,10,4,28,57
55,11,0,22,43
56,11,1,25,57
57,11,2,16,43
58,11,3,24,57
59,11,4,16,43
60,12,0,23,57
61,12,1,21,43
62,12,2,25,57
63,12,3,17,43
64,12,4,24,57
65,13,0,16,43
66,13,1,28,57
67,13,2,19,43
68,13,3,21,57
69,13,4,17,43
70,14,0,23,57
71,14,1,18,43
72,14,2,31,57
73,14,3,16,43
74,14,4,29,57
75,15,0,13,43
76,15,1,24,57
77,15,2,19,43
78,15,3,29,57
79,15,4,16,43
80,16,0,20,57
81,16,1,15,43
82,16,2,27,57
83,16,3,21,43
84,16,4,26,57
85,17,0,20,43
86,17,1,23,57
87,17,2,17,43
88,17,3,27,57
89,17,4,20,43
90,18,0,20,57
91,18,1,19,43
92,18,2,15,57
93,18,3,20,43
94,18,4,20,57
95,19,0,24,43
96,19,1,25,57
97,19,2,18,43
98,19,3,25,57
99,19,4,15,43
100,20,0,33,57
101,20,1,21,43
102,20,2,32,57
103,20,3,16,43
104,20,4,22,57
