node,col,row,failure_count,total_tests
0,0,0,8,51
1,0,1,10,49
2,0,2,8,51
3,0,3,14,49
4,0,4,9,51
5,1,0,17,49
6,1,1,21,51
7,1,2,20,49
8,1,3,25,51
9,1,4,21,49
10,2,0,27,51
11,2,1,31,49
12,2,2,26,51
13,2,3,26,49
14,2,4,27,51
15,3,0,19,49
16,3,1,21,51
17,3,2,25,49
18,3,3,21,51
19,3,4,17,49
20,4,0,23,51
21,4,1,25,49
22,4,2,29,51
23,4,3,21,49
24,4,4,22,51
25,5,0,24,49
26,5,1,15,51
27,5,2,20,49
28,5,3,20,51
29,5,4,16,49
30,6,0,19,51
31,6,1,23,49
32,6,2,28,51
33,6,3,24,49
34,6,4,21,51
35,7,0,17,49
36,7,1,19,51
37,7,2,22,49
38,7,3,22,51
39,7,4,26,49
40,8,0,24,51
41,8,1,23,49
42,8,2,19,51
43,8,3,13,49
44,8,4,19,51
45,9,0,23,49
46,9,1,33,51
47,9,2,19,49
48,9,3,14,51
49,9,4,20,49
50,10,0,22,51
51,10,1,28,49
52,10,2,23,51
53,10,3,16,49
54,10,4,20,51
55,11,0,19,49
56,11,1,22,51
57,11,2,22,49
58,11,3,22,51
59,11,4,23,49
60,12,0,12,51
61,12,1,25,49
62,12,2,23,51
63,12,3,24,49
64,12,4,21,51
65,13,0,17,49
66,13,1,28,51
67,13,2,22,49
68,13,3,21,51
69,13,4,22,49
70,14,0,23,51
71,14,1,21,49
72,14,2,20,51
73,14,3,26,49
74,14,4,21,51
75,15,0,21,49
76,15,1,21,51
77,15,2,14,49
78,15,3,20,51
79,15,4,21,49
80,16,0,23,51
81,16,1,19,49
82,16,2,19,51
83,16,3,22,49
84,16,4,25,51
85,17,0,21,49
86,17,1,17,51
87,17,2,23,49
88,17,3,24,51
89,17,4,20,49
90,18,0,19,51
91,18,1,19,49
92,18,2,17,51
93,18,3,20,49
94,18,4,20,51
95,19,0,22,49
96,19,1,17,51
97,19,2,21,49
98,19,3,19,51
99,19,4,23,49
100,20,0,18,51
101,20,1,19,49
102,20,2,18,51
103,20,3,24,49
104,20,4,13,51
