node,col,row,failure_count,total_tests
0,0,0,1,43
1,0,1,6,57
2,0,2,3,43
3,0,3,3,57
4,0,4,5,43
5,1,0,12,57
6,1,1,5,43
7,1,2,10,57
8,1,3,8,43
9,1,4,9,57
10,2,0,14,43
11,2,1,10,57
12,2,2,10,43
13,2,3,16,57
14,2,4,13,43
15,3,0,9,57
16,3,1,13,43
17,3,2,14,57
18,3,3,11,43
19,3,4,9,57
20,4,0,16,43
21,4,1,17,57
22,4,2,18,43
23,4,3,16,57
24,4,4,10,43
25,5,0,14,57
26,5,1,15,43
27,5,2,15,57
28,5,3,13,43
29,5,4,9,57
30,6,0,11,43
31,6,1,22,57
32,6,2,19,43
33,6,3,19,57
34,6,4,19,43
35,7,0,16,57
36,7,1,13,43
37,7,2,11,57
38,7,3,8,43
39,7,4,17,57
40,8,0,9,43
41,8,1,20,57
42,8,2,10,43
43,8,3,16,57
44,8,4,11,43
45,9,0,12,57
46,9,1,13,43
47,9,2,17,57
48,9,3,6,43
49,9,4,13,57
50,10,0,9,43
51,10,1,17,57
52,10,2,6,43
53,10,3,16,57
54,10,4,9,43
55,11,0,9,57
56,11,1,13,43
57,11,2,23,57
58,11,3,13,43
59,11,4,13,57
60,12,0,14,43
61,12,1,19,57
62,12,2,10,43
63,12,3,25,57
64,12,4,7,43
65,13,0,13,57
66,13,1,6,43
67,13,2,10,57
68,13,3,16,43
69,13,4,15,57
70,14,0,12,43
71,14,1,18,57
72,14,2,11,43
73,14,3,18,57
74,14,4,12,43
75,15,0,13,57
76,15,1,10,43
77,15,2,12,57
78,15,3,9,43
79,15,4,13,57
80,16,0,7,43
81,16,1,17,57
82,16,2,20,43
83,16,3,17,57
84,16,4,15,43
85,17,0,9,57
86,17,1,12,43
87,17,2,23,57
88,17,3,15,43
89,17,4,13,57
90,18,0,15,43
91,18,1,16,57
92,18,2,18,43
93,18,3,14,57
94,18,4,14,43
95,19,0,7,57
96,19,1,8,43
97,19,2,21,57
98,19,3,16,43
99,19,4,13,57
100,20,0,14,43
101,20,1,18,57
102,20,2,16,43
103,20,3,20,57
104,20,4,5,43
