node,col,row,failure_count,total_tests
0,0,0,3,46
1,0,1,6,54
2,0,2,4,46
3,0,3,4,54
4,0,4,3,46
5,1,0,11,54
6,1,1,7,46
7,1,2,10,54
8,1,3,6,46
9,1,4,5,54
10,2,0,18,46
11,2,1,17,54
12,2,2,10,46
13,2,3,16,54
14,2,4,6,46
15,3,0,15,54
16,3,1,8,46
17,3,2,13,54
18,3,3,12,46
19,3,4,13,54
20,4,0,16,46
21,4,1,17,54
22,4,2,14,46
23,4,3,15,54
24,4,4,12,46
25,5,0,13,54
26,5,1,17,46
27,5,2,10,54
28,5,3,14,46
29,5,4,14,54
30,6,0,10,46
31,6,1,22,54
32,6,2,11,46
33,6,3,28,54
34,6,4,19,46
35,7,0,10,54
36,7,1,11,46
37,7,2,10,54
38,7,3,9,46
39,7,4,8,54
40,8,0,6,46
41,8,1,17,54
42,8,2,10,46
43,8,3,14,54
44,8,4,13,46
45,9,0,5,54
46,9,1,14,46
47,9,2,15,54
48,9,3,6,46
49,9,4,16,54
50,10,0,13,46
51,10,1,16,54
52,10,2,11,46
53,10,3,14,54
54,10,4,7,46
55,11,0,13,54
56,11,1,10,46
57,11,2,17,54
58,11,3,10,46
59,11,4,11,54
60,12,0,11,46
61,12,1,21,54
62,12,2,16,46
63,12,3,16,54
64,12,4,10,46
65,13,0,11,54
66,13,1,7,46
67,13,2,13,54
68,13,3,11,46
69,13,4,10,54
70,14,0,9,46
71,14,1,16,54
72,14,2,14,46
73,14,3,17,54
74,14,4,14,46
75,15,0,14,54
76,15,1,5,46
77,15,2,15,54
78,15,3,10,46
79,15,4,13,54
80,16,0,9,46
81,16,1,14,54
82,16,2,8,46
83,16,3,16,54
84,16,4,12,46
85,17,0,15,54
86,17,1,10,46
87,17,2,13,54
88,17,3,6,46
89,17,4,12,54
90,18,0,17,46
91,18,1,19,54
92,18,2,13,46
93,18,3,17,54
94,18,4,9,46
95,19,0,12,54
96,19,1,11,46
97,19,2,18,54
98,19,3,11,46
99,19,4,16,54
100,20,0,12,46
101,20,1,12,54
102,20,2,11,46
103,20,3,15,54
104,20,4,9,46
