node,col,row,failure_count,total_tests
0,0,0,0,64
1,0,1,1,36
2,0,2,2,64
3,0,3,1,36
4,0,4,2,64
5,1,0,3,36
6,1,1,7,64
7,1,2,4,36
8,1,3,3,64
9,1,4,1,36
10,2,0,9,64
11,2,1,5,36
12,2,2,10,64
13,2,3,4,36
14,2,4,3,64
15,3,0,4,36
16,3,1,5,64
17,3,2,3,36
18,3,3,7,64
19,3,4,4,36
20,4,0,9,64
21,4,1,8,36
22,4,2,3,64
23,4,3,6,36
24,4,4,4,64
25,5,0,6,36
26,5,1,11,64
27,5,2,1,36
28,5,3,2,64
29,5,4,3,36
30,6,0,5,64
31,6,1,8,36
32,6,2,5,64
33,6,3,4,36
34,6,4,8,64
35,7,0,2,36
36,7,1,4,64
37,7,2,4,36
38,7,3,2,64
39,7,4,3,36
40,8,0,6,64
41,8,1,3,36
42,8,2,8,64
43,8,3,8,36
44,8,4,10,64
45,9,0,6,36
46,9,1,9,64
47,9,2,5,36
48,9,3,2,64
49,9,4,3,36
50,10,0,11,64
51,10,1,4,36
52,10,2,8,64
53,10,3,3,36
54,10,4,5,64
55,11,0,4,36
56,11,1,7,64
57,11,2,4,36
58,11,3,7,64
59,11,4,3,36
60,12,0,9,64
61,12,1,6,36
62,12,2,4,64
63,12,3,6,36
64,12,4,7,64
65,13,0,4,36
66,13,1,6,64
67,13,2,1,36
68,13,3,7,64
69,13,4,4,36
70,14,0,4,64
71,14,1,3,36
72,14,2,4,64
73,14,3,3,36
74,14,4,6,64
75,15,0,3,36
76,15,1,3,64
77,15,2,3,36
78,15,3,8,64
79,15,4,4,36
80,16,0,5,64
81,16,1,3,36
82,16,2,4,64
83,16,3,3,36
84,16,4,6,64
85,17,0,6,36
86,17,1,5,64
87,17,2,2,36
88,17,3,7,64
89,17,4,5,36
90,18,0,8,64
91,18,1,6,36
92,18,2,7,64
93,18,3,3,36
94,18,4,6,64
95,19,0,7,36
96,19,1,4,64
97,19,2,1,36
98,19,3,8,64
99,19,4,2,36
100,20,0,6,64
101,20,1,5,36
102,20,2,6,64
103,20,3,2,36
104,20,4,4,64
