node,col,row,failure_count,total_tests
0,0,0,3,46
1,0,1,0,54
2,0,2,0,46
3,0,3,1,54
4,0,4,0,46
5,1,0,4,54
6,1,1,0,46
7,1,2,3,54
8,1,3,3,46
9,1,4,4,54
10,2,0,8,46
11,2,1,7,54
12,2,2,1,46
13,2,3,5,54
14,2,4,1,46
15,3,0,5,54
16,3,1,4,46
17,3,2,4,54
18,3,3,4,46
19,3,4,6,54
20,4,0,7,46
21,4,1,3,54
22,4,2,4,46
23,4,3,2,54
24,4,4,4,46
25,5,0,1,54
26,5,1,7,46
27,5,2,5,54
28,5,3,4,46
29,5,4,7,54
30,6,0,5,46
31,6,1,3,54
32,6,2,6,46
33,6,3,7,54
34,6,4,8,46
35,7,0,3,54
36,7,1,6,46
37,7,2,4,54
38,7,3,2,46
39,7,4,7,54
40,8,0,1,46
41,8,1,7,54
42,8,2,6,46
43,8,3,8,54
44,8,4,5,46
45,9,0,8,54
46,9,1,5,46
47,9,2,4,54
48,9,3,2,46
49,9,4,8,54
50,10,0,6,46
51,10,1,7,54
52,10,2,4,46
53,10,3,7,54
54,10,4,4,46
55,11,0,5,54
56,11,1,6,46
57,11,2,4,54
58,11,3,2,46
59,11,4,6,54
60,12,0,6,46
61,12,1,9,54
62,12,2,9,46
63,12,3,8,54
64,12,4,5,46
65,13,0,3,54
66,13,1,7,46
67,13,2,3,54
68,13,3,6,46
69,13,4,3,54
70,14,0,3,46
71,14,1,9,54
72,14,2,4,46
73,14,3,8,54
74,14,4,4,46
75,15,0,4,54
76,15,1,5,46
77,15,2,4,54
78,15,3,6,46
79,15,4,2,54
80,16,0,3,46
81,16,1,7,54
82,16,2,4,46
83,16,3,6,54
84,16,4,6,46
85,17,0,1,54
86,17,1,4,46
87,17,2,9,54
88,17,3,6,46
89,17,4,4,54
90,18,0,9,46
91,18,1,5,54
92,18,2,9,46
93,18,3,9,54
94,18,4,6,46
95,19,0,6,54
96,19,1,4,46
97,19,2,6,54
98,19,3,2,46
99,19,4,6,54
100,20,0,3,46
101,20,1,3,54
102,20,2,5,46
103,20,3,5,54
104,20,4,3,46
