node,col,row,failure_count,total_tests
0,0,0,1,43
1,0,1,2,57
2,0,2,1,43
3,0,3,0,57
4,0,4,2,43
5,1,0,2,57
6,1,1,3,43
7,1,2,1,57
8,1,3,2,43
9,1,4,1,57
10,2,0,6,43
11,2,1,8,57
12,2,2,3,43
13,2,3,4,57
14,2,4,2,43
15,3,0,4,57
16,3,1,2,43
17,3,2,2,57
18,3,3,3,43
19,3,4,6,57
20,4,0,0,43
21,4,1,9,57
22,4,2,3,43
23,4,3,8,57
24,4,4,1,43
25,5,0,6,57
26,5,1,2,43
27,5,2,8,57
28,5,3,5,43
29,5,4,7,57
30,6,0,4,43
31,6,1,10,57
32,6,2,11,43
33,6,3,7,57
34,6,4,8,43
35,7,0,5,57
36,7,1,8,43
37,7,2,7,57
38,7,3,4,43
39,7,4,7,57
40,8,0,2,43
41,8,1,7,57
42,8,2,9,43
43,8,3,8,57
44,8,4,6,43
45,9,0,4,57
46,9,1,3,43
47,9,2,7,57
48,9,3,3,43
49,9,4,7,57
50,10,0,5,43
51,10,1,8,57
52,10,2,7,43
53,10,3,4,57
54,10,4,3,43
55,11,0,4,57
56,11,1,4,43
57,11,2,5,57
58,11,3,3,43
59,11,4,6,57
60,12,0,3,43
61,12,1,8,57
62,12,2,7,43
63,12,3,6,57
64,12,4,4,43
65,13,0,6,57
66,13,1,3,43
67,13,2,6,57
68,13,3,3,43
69,13,4,1,57
70,14,0,3,43
71,14,1,8,57
72,14,2,4,43
73,14,3,4,57
74,14,4,3,43
75,15,0,7,57
76,15,1,6,43
77,15,2,5,57
78,15,3,2,43
79,15,4,4,57
80,16,0,4,43
81,16,1,6,57
82,16,2,4,43
83,16,3,10,57
84,16,4,5,43
85,17,0,6,57
86,17,1,5,43
87,17,2,5,57
88,17,3,5,43
89,17,4,7,57
90,18,0,6,43
91,18,1,7,57
92,18,2,9,43
93,18,3,6,57
94,18,4,1,43
95,19,0,5,57
96,19,1,5,43
97,19,2,3,57
98,19,3,5,43
99,19,4,2,57
100,20,0,1,43
101,20,1,4,57
102,20,2,5,43
103,20,3,7,57
104,20,4,2,43
