node,col,row,failure_count,total_tests
0,0,0,1,48
1,0,1,3,52
2,0,2,0,48
3,0,3,2,52
4,0,4,0,48
5,1,0,4,52
6,1,1,1,48
7,1,2,5,52
8,1,3,8,48
9,1,4,2,52
10,2,0,9,48
11,2,1,5,52
12,2,2,7,48
13,2,3,10,52
14,2,4,3,48
15,3,0,8,52
16,3,1,7,48
17,3,2,10,52
18,3,3,6,48
19,3,4,4,52
20,4,0,9,48
21,4,1,8,52
22,4,2,5,48
23,4,3,7,52
24,4,4,6,48
25,5,0,5,52
26,5,1,7,48
27,5,2,6,52
28,5,3,5,48
29,5,4,4,52
30,6,0,6,48
31,6,1,9,52
32,6,2,9,48
33,6,3,8,52
34,6,4,9,48
35,7,0,4,52
36,7,1,8,48
37,7,2,12,52
38,7,3,5,48
39,7,4,4,52
40,8,0,6,48
41,8,1,12,52
42,8,2,9,48
43,8,3,13,52
44,8,4,13,48
45,9,0,5,52
46,9,1,9,48
47,9,2,11,52
48,9,3,8,48
49,9,4,6,52
50,10,0,6,48
51,10,1,6,52
52,10,2,8,48
53,10,3,8,52
54,10,4,6,48
55,11,0,8,52
56,11,1,2,48
57,11,2,7,52
58,11,3,4,48
59,11,4,4,52
60,12,0,8,48
61,12,1,7,52
62,12,2,10,48
63,12,3,8,52
64,12,4,5,48
65,13,0,8,52
66,13,1,2,48
67,13,2,3,52
68,13,3,10,48
69,13,4,5,52
70,14,0,3,48
71,14,1,12,52
72,14,2,10,48
73,14,3,9,52
74,14,4,4,48
75,15,0,3,52
76,15,1,9,48
77,15,2,8,52
78,15,3,9,48
79,15,4,3,52
80,16,0,5,48
81,16,1,10,52
82,16,2,7,48
83,16,3,8,52
84,16,4,6,48
85,17,0,8,52
86,17,1,2,48
87,17,2,11,52
88,17,3,8,48
89,17,4,10,52
90,18,0,4,48
91,18,1,13,52
92,18,2,10,48
93,18,3,10,52
94,18,4,3,48
95,19,0,5,52
96,19,1,5,48
97,19,2,9,52
98,19,3,9,48
99,19,4,3,52
100,20,0,10,48
101,20,1,13,52
102,20,2,5,48
103,20,3,9,52
104,20,4,3,48
