node,col,row,failure_count,total_tests
0,0,0,0,45
1,0,1,1,55
2,0,2,1,45
3,0,3,0,55
4,0,4,2,45
5,1,0,5,55
6,1,1,6,45
7,1,2,8,55
8,1,3,4,45
9,1,4,5,55
10,2,0,7,45
11,2,1,8,55
12,2,2,5,45
13,2,3,6,55
14,2,4,4,45
15,3,0,7,55
16,3,1,5,45
17,3,2,6,55
18,3,3,4,45
19,3,4,5,55
20,4,0,11,45
21,4,1,14,55
22,4,2,8,45
23,4,3,11,55
24,4,4,3,45
25,5,0,9,55
26,5,1,4,45
27,5,2,7,55
28,5,3,6,45
29,5,4,5,55
30,6,0,4,45
31,6,1,12,55
32,6,2,7,45
33,6,3,8,55
34,6,4,9,45
35,7,0,6,55
36,7,1,7,45
37,7,2,7,55
38,7,3,5,45
39,7,4,4,55
40,8,0,5,45
41,8,1,8,55
42,8,2,7,45
43,8,3,8,55
44,8,4,9,45
45,9,0,6,55
46,9,1,8,45
47,9,2,13,55
48,9,3,8,45
49,9,4,7,55
50,10,0,10,45
51,10,1,6,55
52,10,2,12,45
53,10,3,8,55
54,10,4,5,45
55,11,0,6,55
56,11,1,8,45
57,11,2,4,55
58,11,3,11,45
59,11,4,1,55
60,12,0,10,45
61,12,1,6,55
62,12,2,9,45
63,12,3,11,55
64,12,4,7,45
65,13,0,5,55
66,13,1,5,45
67,13,2,4,55
68,13,3,6,45
69,13,4,7,55
70,14,0,6,45
71,14,1,7,55
72,14,2,9,45
73,14,3,7,55
74,14,4,5,45
75,15,0,3,55
76,15,1,8,45
77,15,2,3,55
78,15,3,5,45
79,15,4,4,55
80,16,0,7,45
81,16,1,5,55
82,16,2,7,45
83,16,3,6,55
84,16,4,9,45
85,17,0,4,55
86,17,1,7,45
87,17,2,4,55
88,17,3,6,45
89,17,4,9,55
90,18,0,5,45
91,18,1,10,55
92,18,2,9,45
93,18,3,11,55
94,18,4,1,45
95,19,0,5,55
96,19,1,9,45
97,19,2,5,55
98,19,3,6,45
99,19,4,5,55
100,20,0,3,45
101,20,1,5,55
102,20,2,5,45
103,20,3,8,55
104,20,4,4,45
