node,col,row,failure_count,total_tests
0,0,0,3,48
1,0,1,0,52
2,0,2,1,48
3,0,3,4,52
4,0,4,1,48
5,1,0,7,52
6,1,1,1,48
7,1,2,5,52
8,1,3,3,48
9,1,4,7,52
10,2,0,7,48
11,2,1,3,52
12,2,2,6,48
13,2,3,3,52
14,2,4,3,48
15,3,0,6,52
16,3,1,5,48
17,3,2,5,52
18,3,3,6,48
19,3,4,9,52
20,4,0,5,48
21,4,1,9,52
22,4,2,5,48
23,4,3,8,52
24,4,4,2,48
25,5,0,5,52
26,5,1,7,48
27,5,2,8,52
28,5,3,4,48
29,5,4,8,52
30,6,0,4,48
31,6,1,10,52
32,6,2,4,48
33,6,3,11,52
34,6,4,11,48
35,7,0,5,52
36,7,1,6,48
37,7,2,2,52
38,7,3,7,48
39,7,4,8,52
40,8,0,4,48
41,8,1,6,52
42,8,2,6,48
43,8,3,11,52
44,8,4,10,48
45,9,0,5,52
46,9,1,9,48
47,9,2,11,52
48,9,3,7,48
49,9,4,8,52
50,10,0,6,48
51,10,1,12,52
52,10,2,7,48
53,10,3,8,52
54,10,4,8,48
55,11,0,10,52
56,11,1,5,48
57,11,2,10,52
58,11,3,7,48
59,11,4,4,52
60,12,0,6,48
61,12,1,10,52
62,12,2,9,48
63,12,3,10,52
64,12,4,2,48
65,13,0,8,52
66,13,1,4,48
67,13,2,9,52
68,13,3,7,48
69,13,4,3,52
70,14,0,3,48
71,14,1,10,52
72,14,2,10,48
73,14,3,8,52
74,14,4,10,48
75,15,0,5,52
76,15,1,7,48
77,15,2,8,52
78,15,3,2,48
79,15,4,7,52
80,16,0,6,48
81,16,1,10,52
82,16,2,6,48
83,16,3,10,52
84,16,4,8,48
85,17,0,6,52
86,17,1,9,48
87,17,2,7,52
88,17,3,8,48
89,17,4,5,52
90,18,0,6,48
91,18,1,14,52
92,18,2,8,48
93,18,3,11,52
94,18,4,3,48
95,19,0,6,52
96,19,1,8,48
97,19,2,9,52
98,19,3,9,48
99,19,4,4,52
100,20,0,3,48
101,20,1,5,52
102,20,2,8,48
103,20,3,13,52
104,20,4,1,48
