node,col,row,failure_count,total_tests
0,0,0,5,53
1,0,1,2,47
2,0,2,6,53
3,0,3,2,47
4,0,4,7,53
5,1,0,7,47
6,1,1,16,53
7,1,2,11,47
8,1,3,6,53
9,1,4,11,47
10,2,0,22,53
11,2,1,19,47
12,2,2,20,53
13,2,3,18,47
14,2,4,17,53
15,3,0,14,47
16,3,1,17,53
17,3,2,17,47
18,3,3,13,53
19,3,4,9,47
20,4,0,21,53
21,4,1,17,47
22,4,2,14,53
23,4,3,17,47
24,4,4,16,53
25,5,0,14,47
26,5,1,19,53
27,5,2,20,47
28,5,3,20,53
29,5,4,9,47
30,6,0,12,53
31,6,1,20,47
32,6,2,18,53
33,6,3,13,47
34,6,4,27,53
35,7,0,8,47
36,7,1,15,53
37,7,2,5,47
38,7,3,12,53
39,7,4,6,47
40,8,0,20,53
41,8,1,21,47
42,8,2,19,53
43,8,3,15,47
44,8,4,26,53
45,9,0,13,47
46,9,1,14,53
47,9,2,15,47
48,9,3,15,53
49,9,4,13,47
50,10,0,16,53
51,10,1,15,47
52,10,2,23,53
53,10,3,17,47
54,10,4,14,53
55,11,0,10,47
56,11,1,21,53
57,11,2,12,47
58,11,3,20,53
59,11,4,12,47
60,12,0,15,53
61,12,1,11,47
62,12,2,19,53
63,12,3,21,47
64,12,4,15,53
65,13,0,15,47
66,13,1,19,53
67,13,2,7,47
68,13,3,17,53
69,13,4,10,47
70,14,0,12,53
71,14,1,17,47
72,14,2,14,53
73,14,3,15,47
74,14,4,17,53
75,15,0,9,47
76,15,1,19,53
77,15,2,17,47
78,15,3,17,53
79,15,4,13,47
80,16,0,11,53
81,16,1,21,47
82,16,2,17,53
83,16,3,13,47
84,16,4,26,53
85,17,0,14,47
86,17,1,15,53
87,17,2,14,47
88,17,3,15,53
89,17,4,11,47
90,18,0,20,53
91,18,1,16,47
92,18,2,17,53
93,18,3,20,47
94,18,4,14,53
95,19,0,14,47
96,19,1,21,53
97,19,2,17,47
98,19,3,15,53
99,19,4,10,47
100,20,0,18,53
101,20,1,15,47
102,20,2,10,53
103,20,3,19,47
104,20,4,13,53
