node,col,row,failure_count,total_tests
0,0,0,0,242
1,0,1,31,258
2,0,2,0,242
3,1,0,31,258
4,1,1,90,242
5,1,2,0,258
6,2,0,82,242
7,2,1,132,258
8,2,2,0,242
9,3,0,31,258
10,3,1,102,242
11,3,2,0,258
12,4,0,0,242
13,4,1,37,258
14,4,2,0,242
15,5,0,0,258
16,5,1,0,242
17,5,2,0,258
18,6,0,31,242
19,6,1,0,258
20,6,2,0,242
21,7,0,81,258
22,7,1,0,242
23,7,2,0,258
24,8,0,114,242
25,8,1,79,258
26,8,2,0,242
27,9,0,164,258
28,9,1,121,242
29,9,2,0,258
30,10,0,162,242
31,10,1,169,258
32,10,2,0,242
33,11,0,72,258
34,11,1,131,242
35,11,2,0,258
36,12,0,0,242
37,12,1,65,258
38,12,2,0,242
39,13,0,0,258
40,13,1,0,242
41,13,2,0,258
42,14,0,0,242
43,14,1,0,258
44,14,2,53,242
45,15,0,0,258
46,15,1,0,242
47,15,2,140,258
48,16,0,0,242
49,16,1,11,258
50,16,2,50,242
51,17,0,15,258
52,17,1,60,242
53,17,2,0,258
54,18,0,58,242
55,18,1,99,258
56,18,2,0,242
57,19,0,15,258
58,19,1,55,242
59,19,2,0,258
60,20,0,0,242
61,20,1,10,258
62,20,2,0,242
