node,col,row,failure_count,total_tests
0,0,0,0,235
1,0,1,26,265
2,0,2,0,235
3,1,0,34,265
4,1,1,79,235
5,1,2,0,265
6,2,0,79,235
7,2,1,140,265
8,2,2,0,235
9,3,0,30,265
10,3,1,85,235
11,3,2,0,265
12,4,0,0,235
13,4,1,41,265
14,4,2,0,235
15,5,0,0,265
16,5,1,0,235
17,5,2,0,265
18,6,0,36,235
19,6,1,0,265
20,6,2,0,235
21,7,0,95,265
22,7,1,0,235
23,7,2,0,265
24,8,0,104,235
25,8,1,72,265
26,8,2,0,235
27,9,0,169,265
28,9,1,134,235
29,9,2,0,265
30,10,0,172,235
31,10,1,183,265
32,10,2,0,235
33,11,0,76,265
34,11,1,130,235
35,11,2,0,265
36,12,0,0,235
37,12,1,90,265
38,12,2,0,235
39,13,0,0,265
40,13,1,0,235
41,13,2,0,265
42,14,0,0,235
43,14,1,0,265
44,14,2,62,235
45,15,0,0,265
46,15,1,0,235
47,15,2,137,265
48,16,0,0,235
49,16,1,14,265
50,16,2,47,235
51,17,0,7,265
52,17,1,62,235
53,17,2,0,265
54,18,0,48,235
55,18,1,120,265
56,18,2,0,235
57,19,0,19,265
58,19,1,58,235
59,19,2,0,265
60,20,0,0,235
61,20,1,10,265
62,20,2,0,235
